Event_id,Sport,Event
373,Taekwondo,Taekwondo Men's Welterweight
374,Rowing,Rowing Women's Lightweight Double Sculls
375,Shooting,"Shooting Mixed Running Target, 50 metres"
376,Cycling,Cycling Women's Points Race
377,Swimming,Swimming Women's 200 metres Butterfly
378,Shooting,"Shooting Men's Running Target, Double Shot"
379,Shooting,"Shooting Men's Running Target, Double Shot, Team"
380,Shooting,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team"
381,Diving,Diving Women's Synchronized Platform
382,Sailing,Sailing Mixed 30 metres
383,Athletics,Athletics Women's 800 metres
384,Sailing,Sailing Mixed Two Person Dinghy
385,Athletics,"Athletics Men's 4,000 metres Steeplechase"
386,Athletics,"Athletics Men's 5,000 metres, Team"
387,Ice Hockey,Ice Hockey Men's Ice Hockey
388,Judo,Judo Men's Heavyweight
389,Judo,Judo Women's Extra-Lightweight
390,Rowing,Rowing Men's Coxed Pairs (1 mile)
391,Equestrianism,"Equestrianism Men's Jumping, Individual"
392,Swimming,Swimming Men's 200 metres Team Swimming
393,Sailing,Sailing Mixed 12 foot
394,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres"
395,Art Competitions,"Art Competitions Mixed Music, Vocals"
396,Athletics,Athletics Men's Pentathlon
397,Athletics,Athletics Women's Pentathlon
398,Gymnastics,Gymnastics Women's Balance Beam
399,Sailing,Sailing Mixed 10-20 Ton
400,Cycling,Cycling Men's 1/4 mile
401,Cycling,Cycling Men's 1/3 mile
402,Cycling,Cycling Men's 1/2 mile
403,Cycling,Cycling Men's 1 mile
404,Shooting,"Shooting Women's Air Rifle, 10 metres"
405,Art Competitions,"Art Competitions Mixed Literature, Lyric Works"
406,Athletics,Athletics Women's 200 metres
407,Canoeing,"Canoeing Men's Folding Kayak Doubles, 10 kilometres"
408,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors"
409,Sailing,Sailing Mixed 2-3 Ton
410,Weightlifting,Weightlifting Men's Heavyweight I
411,Athletics,Athletics Women's 80 metres Hurdles
412,Judo,Judo Women's Lightweight
413,Cycling,"Cycling Women's Mountainbike, Cross-Country"
414,Swimming,Swimming Women's 300 metres Freestyle
415,Art Competitions,"Art Competitions Mixed Sculpturing, Statues"
416,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres, Team"
417,Shooting,"Shooting Men's Free Rifle, 1,000 Yards"
418,Cycling,Cycling Men's Individual Time Trial
419,Gymnastics,"Gymnastics Men's Parallel Bars, Teams"
420,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams"
421,Athletics,"Athletics Men's 1,600 metres Medley Relay"
422,Sailing,Sailing Mixed Windsurfer
423,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
424,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team"
425,Shooting,"Shooting Men's Running Target, Single Shot"
426,Table Tennis,Table Tennis Men's Team
427,Equestrianism,"Equestrianism Men's Dressage, Individual"
428,Athletics,"Athletics Men's 1,500 metres Walk"
429,Athletics,"Athletics Men's 3 mile, Team"
430,Judo,Judo Men's Open Class
431,Cycling,"Cycling Men's 1,000 metres Time Trial"
432,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres"
433,Equestrianism,"Equestrianism Men's Vaulting, Individual"
434,Equestrianism,"Equestrianism Men's Vaulting, Team"
435,Diving,Diving Men's Synchronized Platform
436,Swimming,Swimming Men's 100 Yard Backstroke
437,Swimming,Swimming Men's 440 Yard Breaststroke
438,Shooting,"Shooting Men's Military Pistol, 30 metres"
439,Gymnastics,"Gymnastics Men's Individual All-Around, 5 Events"
440,Art Competitions,"Art Competitions Mixed Music, Compositions For Orchestra"
441,Archery,Archery Men's Double York Round
442,Art Competitions,Art Competitions Mixed Painting
443,Roque,Roque Men's Singles
444,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres, Team"
445,Triathlon,Triathlon Men's Olympic Distance
446,Swimming,Swimming Men's 100 metres Breaststroke
447,Archery,"Archery Men's Target Archery, 33 metres, Individual"
448,Archery,"Archery Men's Target Archery, 50 metres, Individual"
449,Rowing,Rowing Men's Coxed Pairs (1 kilometres)
450,Cycling,Cycling Men's Points Race
451,Archery,Archery Men's Double American Round
452,Archery,Archery Men's Team Round
453,Figure Skating,Figure Skating Mixed Pairs
454,Shooting,Shooting Mixed Skeet
455,Equestrianism,"Equestrianism Men's Three-Day Event, Individual"
456,Canoeing,"Canoeing Men's Canadian Singles, 500 metres"
457,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres"
458,Wrestling,"Wrestling Women's Heavyweight, Freestyle"
459,Sailing,Sailing Men's Skiff
460,Trampolining,Trampolining Men's Individual
461,Shooting,"Shooting Men's Small-Bore Rifle, Any Position, 50 metres"
462,Archery,Archery Men's Continental Style
463,Golf,Golf Men's Team
464,Sailing,Sailing Mixed 0-0.5 Ton
465,Sailing,Sailing Mixed 20+ Ton
466,Weightlifting,"Weightlifting Men's Unlimited, One Hand"
467,Weightlifting,Weightlifting Women's Heavyweight
468,Tennis,"Tennis Men's Singles, Covered Courts"
469,Shooting,"Shooting Men's Dueling Pistol, 30 metres, Team"
470,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team"
471,Shooting,"Shooting Men's Dueling Pistol Au Commandement, 25 metres"
472,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres"
473,Sailing,Sailing Mixed 6.5 metres
474,Canoeing,"Canoeing Women's Kayak Singles, 200 metres"
475,Fencing,"Fencing Men's Sabre, Individual, Three Hits"
476,Athletics,Athletics Men's 200 metres Hurdles
477,Cycling,Cycling Men's Omnium
478,Athletics,"Athletics Women's 3,000 metres"
479,Athletics,"Athletics Men's 2,500 metres Steeplechase"
480,Cycling,Cycling Women's BMX
481,Canoeing,"Canoeing Men's Canadian Singles, 200 metres"
482,Table Tennis,Table Tennis Women's Singles
483,Table Tennis,Table Tennis Women's Doubles
484,Weightlifting,Weightlifting Women's Lightweight
485,Athletics,Athletics Women's 10 kilometres Walk
486,Weightlifting,Weightlifting Women's Featherweight
487,Taekwondo,Taekwondo Men's Flyweight
488,Wrestling,"Wrestling Women's Flyweight, Freestyle"
489,Weightlifting,Weightlifting Men's Flyweight
490,Archery,"Archery Men's Pole Archery, Large Birds, Individual"
491,Archery,"Archery Men's Pole Archery, Small Birds, Team"
492,Archery,"Archery Men's Pole Archery, Large Birds, Team"
493,Trampolining,Trampolining Women's Individual
494,Weightlifting,Weightlifting Women's Light-Heavyweight
495,Shooting,"Shooting Men's Military Rifle, Any Position, 600 metres"
496,Art Competitions,Art Competitions Mixed Sculpturing
497,Fencing,"Fencing Men's Sabre, Masters, Individual"
498,Archery,Archery Women's Double Columbia Round
499,Archery,Archery Women's Double National Round
500,Athletics,"Athletics Men's 4 mile, Team"
501,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres"
502,Athletics,Athletics Women's Hammer Throw
503,Cycling,Cycling Men's 333 metres Time Trial
504,Figure Skating,Figure Skating Men's Special Figures
505,Sailing,Sailing Mixed Open
506,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle"
507,Athletics,Athletics Men's 5 mile
508,Athletics,"Athletics Men's 2,590 metres Steeplechase"
509,Table Tennis,Table Tennis Women's Team
510,Swimming,Swimming Men's 50 yard Freestyle
511,Swimming,Swimming Men's 100 yard Freestyle
512,Swimming,Swimming Men's 220 yard Freestyle
513,Swimming,Swimming Men's 440 yard Freestyle
514,Swimming,Swimming Men's 4 x 50 Yard Freestyle Relay
515,Swimming,Swimming Men's 10 kilometres Open Water
516,Cycling,Cycling Men's BMX
517,Basque Pelota,Basque Pelota Men's Two-Man Teams With Cesta
518,Shooting,"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres"
519,Shooting,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres"
520,Art Competitions,"Art Competitions Mixed Literature, Dramatic Works"
521,Equestrianism,Equestrianism Mixed Four-In-Hand Competition
522,Equestrianism,Equestrianism Mixed Long Jump
523,Athletics,Athletics Men's 56-pound Weight Throw
524,Swimming,Swimming Men's Underwater Swimming
525,Athletics,Athletics Women's Triple Jump
526,Cycling,Cycling Women's Omnium
527,Art Competitions,"Art Competitions Mixed Painting, Applied Arts"
528,Weightlifting,Weightlifting Women's Super-Heavyweight
529,Shooting,"Shooting Mixed Free Pistol, 50 metres"
530,Shooting,"Shooting Men's Military Pistol, 25 metres"
531,Athletics,Athletics Men's Stone Throw
532,Athletics,"Athletics Men's Javelin Throw, Freestyle"
533,Wrestling,"Wrestling Women's Light-Heavyweight, Freestyle"
534,Cycling,Cycling Men's 2 mile
535,Athletics,Athletics Women's Pole Vault
536,Swimming,Swimming Men's 100 metres Freestyle For Sailors
537,Archery,Archery Men's Sur La Perche a La Herse
538,Badminton,Badminton Women's Doubles
539,Sailing,Sailing Mixed 3-10 Ton
540,Art Competitions,"Art Competitions Mixed Sculpturing, Medals"
541,Alpinism,Alpinism Mixed Alpinism
542,Canoeing,"Canoeing Men's Folding Kayak Singles, 10 kilometres"
543,Golf,Golf Men's Individual
544,Art Competitions,"Art Competitions Mixed Literature, Epic Works"
545,Athletics,"Athletics Men's 3,200 metres Steeplechase"
546,Art Competitions,"Art Competitions Mixed Painting, Paintings"
547,Sailing,Sailing Men's Two Person Keelboat
548,Weightlifting,"Weightlifting Men's Unlimited, Two Hands"
549,Gymnastics,"Gymnastics Men's Individual All-Around, Field Sports"
550,Taekwondo,Taekwondo Women's Welterweight
551,Gymnastics,Gymnastics Men's Club Swinging
552,Shooting,"Shooting Men's Military Rifle, Prone, 600 metres"
553,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team"
554,Gymnastics,"Gymnastics Men's Individual All-Around, 4 Events"
555,Gymnastics,Gymnastics Men's Side Horse
556,Shooting,"Shooting Mixed Rapid-Fire Pistol, 25 metres"
557,Shooting,"Shooting Men's Small-Bore Rifle, Standing, 50 metres"
558,Motorboating,Motorboating Mixed B-Class (Under 60 Feet)
559,Motorboating,Motorboating Mixed C-Class
560,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres, Team"
561,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres"
562,Archery,"Archery Men's Au Cordon Dore, 50 metres"
563,Cycling,"Cycling Men's 10,000 metres"
564,Shooting,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards"
565,Art Competitions,"Art Competitions Mixed Sculpturing, Reliefs"
566,Boxing,Boxing Women's Middleweight
567,Shooting,"Shooting Men's Free Pistol, 30 metres"
568,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres"
569,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres"
570,Athletics,"Athletics Men's 3,000 metres Walk"
571,Swimming,Swimming Men's 880 yard Freestyle
572,Swimming,Swimming Men's One Mile Freestyle
573,Shooting,Shooting Women's Double Trap
574,Equestrianism,Equestrianism Mixed High Jump
575,Table Tennis,Table Tennis Men's Singles
576,Art Competitions,"Art Competitions Mixed Music, Compositions For Solo Or Chorus"
577,Athletics,"Athletics Men's Discus Throw, Greek Style"
578,Archery,Archery Men's Sur La Perche a La Pyramide
579,Cycling,Cycling Women's Team Sprint
580,Athletics,Athletics Women's 20 kilometres Walk
581,Shooting,"Shooting Men's Free Pistol, 50 yards"
582,Jeu De Paume,Jeu De Paume Men's Singles
583,Sailing,Sailing Women's Skiff
584,Figure Skating,Figure Skating Men's Singles
585,Fencing,"Fencing Men's Single Sticks, Individual"
586,Figure Skating,Figure Skating Women's Singles
587,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Reliefs"
588,Art Competitions,"Art Competitions Mixed Sculpturing, Medals And Plaques"
589,Gymnastics,Gymnastics Men's Tumbling
590,Athletics,Athletics Men's All-Around Championship
591,Cycling,Cycling Women's Keirin
592,Athletics,Athletics Men's 60 metres
593,Art Competitions,Art Competitions Mixed Architecture
594,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres
595,Archery,"Archery Men's Au Chapelet, 50 metres"
596,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning"
597,Archery,"Archery Men's Pole Archery, Small Birds, Individual"
598,Archery,Archery Men's Championnat Du Monde
599,Archery,Archery Women's Team Round
600,Wrestling,"Wrestling Women's Middleweight, Freestyle"
601,Fencing,"Fencing Women's Sabre, Individual"
602,Swimming,"Swimming Men's 1,000 metres Freestyle"
603,Swimming,"Swimming Men's 4,000 metres Freestyle"
604,Wrestling,"Wrestling Men's All-Around, Greco-Roman"
605,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres"
606,Shooting,"Shooting Men's Military Rifle, 200 metres"
607,Cycling,Cycling Men's 12-Hours Race
608,Shooting,"Shooting Men's Free Rifle, Kneeling, 300 metres"
609,Swimming,Swimming Men's 200 metres Obstacle Course
610,Athletics,"Athletics Men's 3,500 metres Walk"
611,Swimming,Swimming Men's 500 metres Freestyle
612,Wrestling,"Wrestling Men's Unlimited Class, Greco-Roman"
613,Fencing,"Fencing Men's Foil, Masters, Individual"
614,Weightlifting,Weightlifting Men's All-Around Dumbbell Contest
615,Shooting,"Shooting Men's Dueling Pistol, 30 metres"
616,Athletics,Athletics Men's 10 mile Walk
617,Shooting,"Shooting Men's Running Target, Single And Double Shot"
618,Art Competitions,"Art Competitions Mixed Music, Instrumental And Chamber"
619,Shooting,"Shooting Men's Free Pistol, 25 metres"
620,Shooting,Shooting Men's Dueling Pistol Au Vise 20 metres
621,Athletics,Athletics Men's Pentathlon (Ancient)
622,Gymnastics,"Gymnastics Men's Individual All-Around, Apparatus Work"
623,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres"
624,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres"
625,Athletics,"Athletics Men's Discus Throw, Both Hands"
626,Wrestling,"Wrestling Women's Featherweight, Freestyle"
627,Athletics,"Athletics Men's Shot Put, Both Hands"
628,Shooting,"Shooting Men's Trap, Single Shot, 16 metres"
629,Shooting,"Shooting Men's Trap, Double Shot, 14 metres"
630,Shooting,"Shooting Men's Free Rifle, Any Position, 300 metres"
631,Shooting,"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres"
632,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres"
633,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres"
634,Athletics,"Athletics Men's Javelin Throw, Both Hands"
635,Archery,"Archery Men's Au Chapelet, 33 metres"
636,Archery,"Archery Men's Au Cordon Dore, 33 metres"
637,Archery,"Archery Men's Target Archery, 28 metres, Individual"
638,Shooting,"Shooting Men's Military Revolver, 20 metres"
639,Croquet,"Croquet Mixed Singles, Two Balls"
640,Aeronautics,Aeronautics Mixed Aeronautics
641,Motorboating,Motorboating Mixed A-Class (Open)
642,Handball,Men Team
643,Baseball/Softball,Softball Team
644,Karate,Women's Kumite +61kg
645,Athletics,Men's Marathon
646,Weightlifting,Men's 73kg
647,Wrestling,Men's Freestyle 74kg
648,Judo,Men -66 kg
649,Judo,Mixed Team
650,Judo,Women -52 kg
651,Diving,Women's Synchronised 3m Springboard Team
652,Artistic Gymnastics,Men's Vault
653,Artistic Gymnastics,Men's Team
654,Football,Men Team
655,Athletics,Women's Shot Put
656,Wrestling,Women's Freestyle 76kg
657,Basketball,Men Team
658,Athletics,Men's 4 x 400m Relay Team
659,Judo,Women -63 kg
660,Karate,Men's Kumite -75kg
661,Judo,Women -78 kg
662,Diving,Women's Synchronised 10m Platform Team
663,Athletics,Men's 5000m
664,Canoe Slalom,Men's Kayak
665,Weightlifting,Women's 49kg
666,Athletics,Men's 4 x 100m Relay Team
667,Basketball,Women Team
668,Wrestling,Men's Freestyle 125kg
669,Artistic Gymnastics,Women's Team
670,Volleyball,Women Team
671,Karate,Men's Kumite +75kg
672,Taekwondo,Men +80kg
673,Hockey,Women Team
674,Wrestling,Men's Greco-Roman 97kg
675,Water Polo,Men Team
676,Artistic Swimming,Team
677,Boxing,Men's Light Heavy (75-81kg)
678,Wrestling,Men's Freestyle 65kg
679,Baseball/Softball,Baseball Team
680,Athletics,Women's Discus Throw
681,Karate,Men's Kumite -67kg
682,Shooting,Skeet Men
683,Boxing,Men's Feather (52-57kg)
684,Archery,Mixed Team
685,Rugby Sevens,Men Team
686,Wrestling,Men's Freestyle 86kg
687,Judo,Men -73 kg
688,Archery,Women's Individual
689,Archery,Women's Team
690,Swimming,Mixed 4 x 100m Medley Relay Team
691,Football,Women Team
692,Weightlifting,Women's 59kg
693,Artistic Gymnastics,Women's All-Around
694,Artistic Gymnastics,Women's Vault
695,Athletics,Women's Javelin Throw
696,Swimming,Men's 4 x 100m Medley Relay Team
697,Cycling Track,Women's Keirin
698,Rowing,Men's Double Sculls Team
699,Rowing,Men's Quadruple Sculls Team
700,Cycling Track,Women's Team Sprint Team
701,Swimming,Men's 4 x 100m Freestyle Relay Team
702,Judo,Women -70 kg
703,Cycling Track,Women's Team Pursuit Team
704,Cycling Track,Women's Madison Team
705,Athletics,Women's 20km Race Walk
706,Canoe Sprint,Men's Kayak Four 500m Team
707,Artistic Gymnastics,Men's Parallel Bars
708,Beach Volleyball,Women Team
709,Taekwondo,Men -58kg
710,Boxing,Women's Feather (54-57kg)
711,Weightlifting,Men's +109kg
712,Modern Pentathlon,Women's Individual
713,Athletics,Women's 4 x 100m Relay Team
714,Rhythmic Gymnastics,Individual All-Around
715,Cycling Track,Men's Keirin
716,Badminton,Men's Singles
717,Water Polo,Women Team
718,Boxing,Men's Light (57-63kg)
719,Athletics,4 x 400m Relay Mixed Team
720,Shooting,Skeet Women
721,Sailing,Men's Windsurfer - RS:X
722,Boxing,Men's Middle (69-75kg)
723,Fencing,Women's Sabre Team
724,Sailing,Mixed Multihull - Nacra 17 Foiling Team
725,Athletics,"Men's 10,000m"
726,Skateboarding,Men's Park
727,Athletics,Men's High Jump
728,Tennis,Mixed Doubles Team
729,Equestrian,Jumping Team
730,Judo,Men +100 kg
731,Wrestling,Women's Freestyle 53kg
732,Fencing,Women's Foil Team
733,Shooting,10m Air Pistol Women
734,Shooting,25m Pistol Women
735,Shooting,10m Air Pistol Mixed Team
736,Athletics,Women's 4 x 400m Relay Team
737,Hockey,Men Team
738,Triathlon,Mixed Relay Team
739,Athletics,Men's 200m
740,Judo,Men -90 kg
741,Sailing,Women's Skiff - 49er  Team
742,Sailing,Men's Two Person Dinghy - 470 Team
743,Wrestling,Men's Greco-Roman 87kg
744,Fencing,Women's Épée Team
745,Tennis,Women's Singles
746,Tennis,Women's Doubles Team
747,Athletics,Men's 400m Hurdles
748,Rowing,Men's Four Team
749,Sailing,Men's One Person Dinghy (Heavyweight) - Finn
750,Shooting,Trap Mixed Team
751,Fencing,Men's Sabre Team
752,Cycling Track,Men's Team Pursuit Team
753,Rugby Sevens,Women Team
754,Rowing,Women's Eight Team
755,Boxing,Men's Fly (48-52kg)
756,Fencing,Men's Épée Team
757,Artistic Gymnastics,Women's Balance Beam
758,Judo,Women -48 kg
759,Sailing,Men's Skiff - 49er Team
760,Rhythmic Gymnastics,Group All-Around Team
761,Swimming,Women's 50m Freestyle
762,Triathlon,Men's Individual
763,Handball,Women Team
764,Rowing,Women's Double Sculls Team
765,Canoe Sprint,Women's Kayak Double 500m Team
766,Canoe Sprint,Women's Kayak Four 500m Team
767,Volleyball,Men Team
768,Taekwondo,Women -49kg
769,Athletics,Women's 400m Hurdles
770,Table Tennis,Men's Team
771,Rowing,Men's Eight Team
772,Diving,Men's Synchronised 10m Platform Team
773,Weightlifting,Men's 81kg
774,Rowing,Men's Single Sculls
775,Judo,Men -81 kg
776,Weightlifting,Women's 64kg
777,Boxing,Women's Welter (64-69kg)
778,Fencing,Men's Foil Team
779,Karate,Women's Kata
780,Sailing,Women's One Person Dinghy - Laser Radial
781,Rowing,Lightweight Women's Double Sculls Team
782,Athletics,Women's Pole Vault
783,Athletics,Men's Pole Vault
784,Canoe Sprint,Men's Canoe Double 1000m Team
785,Cycling BMX Freestyle,Men's Park
786,Swimming,Women's 4 x 100m Freestyle Relay Team
787,Swimming,Women's 4 x 100m Medley Relay Team
788,Skateboarding,Women's Park
789,Shooting,Trap Women
790,Athletics,Women's Long Jump
791,Fencing,Women's Sabre Individual
792,Cycling Track,Men's Team Sprint Team
793,Surfing,Women
794,Swimming,Men's 200m Butterfly
795,Boxing,Women's Fly (48-51kg)
796,Athletics,Women's 100m Hurdles
797,Swimming,Women's 100m Freestyle
798,Weightlifting,Women's +87kg
799,Fencing,Men's Épée Individual
800,Equestrian,Eventing Team
801,Diving,Men's 10m Platform
802,Diving,Men's Synchronised 3m Springboard Team
803,Cycling Road,Men's Road Race
804,Artistic Gymnastics,Women's Floor Exercise
805,Cycling Track,Men's Sprint
806,Tennis,Men's Singles
807,Canoe Sprint,Women's Kayak Single 200m
808,Canoe Sprint,Women's Kayak Single 500m
809,3x3 Basketball,Men Team
810,Swimming,Men's 100m Freestyle
811,Swimming,Men's 4 x 200m Freestyle Relay Team
812,Athletics,Women's 3000m Steeplechase
813,Weightlifting,Men's 67kg
814,Table Tennis,Women's Singles
815,Table Tennis,Women's Team
816,Badminton,Women's Doubles Team
817,Badminton,Women's Singles
818,Rowing,Women's Quadruple Sculls Team
819,Diving,Women's 10m Platform
820,Table Tennis,Mixed Doubles Team
821,Wrestling,Women's Freestyle 68kg
822,Athletics,Men's 1500m
823,Canoe Sprint,Women's Canoe Double 500m Team
824,Fencing,Men's Foil Individual
825,Badminton,Men's Doubles Team
826,Weightlifting,Women's 55kg
827,Judo,Men -100 kg
828,Modern Pentathlon,Men's Individual
829,Athletics,Men's Javelin Throw
830,Canoe Slalom,Women's Kayak
831,Shooting,10m Air Rifle Women
832,Shooting,50m Rifle 3 Positions Women
833,Tennis,Men's Doubles Team
834,Boxing,Men's Super Heavy (+91kg)
835,Rowing,Women's Four Team
836,Karate,Women's Kumite -61kg
837,Sport Climbing,Men's Combined
838,Wrestling,Men's Freestyle 97kg
839,Swimming,Women's 4 x 200m Freestyle Relay Team
840,Shooting,Trap Men
841,Rowing,Men's Pair Team
842,Athletics,Men's Shot Put
843,Marathon Swimming,Women's 10km
844,Judo,Women -57 kg
845,Weightlifting,Women's 76kg
846,Athletics,Men's 100m
847,Swimming,Men's 200m Freestyle
848,Archery,Men's Team
849,Cycling Road,Men's Individual Time Trial
850,Fencing,Women's Foil Individual
851,Artistic Gymnastics,Women's Uneven Bars
852,Swimming,Men's 200m Individual Medley
853,Judo,Women +78 kg
854,Weightlifting,Men's 109kg
855,Athletics,Men's 800m
856,Artistic Gymnastics,Men's Floor Exercise
857,3x3 Basketball,Women Team
858,Trampoline Gymnastics,Men
859,Canoe Sprint,Men's Kayak Double 1000m Team
860,Swimming,Women's 200m Individual Medley
861,Swimming,Men's 50m Freestyle
862,Swimming,Men's 100m Butterfly
863,Cycling BMX Freestyle,Women's Park
864,Triathlon,Women's Individual
865,Equestrian,Dressage Team
866,Equestrian,Dressage Individual
867,Athletics,Men's 50km Race Walk
868,Skateboarding,Men's Street
869,Athletics,Men's Long Jump
870,Taekwondo,Men -80kg
