Event_id,Sport,Event
1047,Sailing,Women's Windsurfing
1048,Football,Men
1049,Diving,Men's Synchronised 10m Platform
1050,Diving,Women's Synchronised 3m Springboard
1051,Diving,Women's Synchronised 10m Platform
1052,Rowing,Men's Four
1053,Rowing,Women's Quadruple Sculls
1054,Rowing,Women's Four
1055,Rowing,Men's Eight
1056,Rowing,Men's Pair
1057,Tennis,Mixed Doubles
1058,Table Tennis,Mixed Doubles
1059,Swimming,Men's 4 x 200m Freestyle Relay
1060,Athletics,Marathon Race Walk Relay Mixed
1061,Sailing,Men's Dinghy
1062,Rhythmic Gymnastics,Group All-Around
1063,Water Polo,Men
1064,Swimming,Men's 4 x 100m Medley Relay
1065,Breaking,B-Girls
1066,Cycling Track,Women's Madison
1067,Cycling Track,Women's Team Pursuit
1068,Cycling Track,Men's Team Pursuit
1069,Cycling Track,Men's Team Sprint
1070,Sport Climbing,Men's Speed
1071,Canoe Sprint,Men's Kayak Four 500m
1072,Canoe Slalom,Women's Canoe Single
1073,Shooting,Skeet Mixed Team
1074,Volleyball,Women
1075,Sailing,Men's Skiff
1076,Athletics,Women's 4 x 100m Relay
1077,Athletics,Women's 4 x 400m Relay
1078,Athletics,4 x 400m Relay Mixed
1079,Athletics,Men's 4 x 400m Relay
1080,Athletics,Men's 4 x 100m Relay
1081,Swimming,Men's 4 x 100m Freestyle Relay
1082,Rugby Sevens,Women
1083,Sailing,Men's Windsurfing
1084,Tennis,Men's Doubles
1085,Swimming,Women's 4 x 100m Freestyle Relay
1086,Swimming,Mixed 4 x 100m Medley Relay
1087,Swimming,Women's 4 x 100m Medley Relay
1088,Swimming,Women's 4 x 200m Freestyle Relay
1089,Water Polo,Women
1090,Beach Volleyball,Women
